ac_id	predicate	status	evidence_path	witness	evidence_sha256	notes
AC27	FIXEDPOINT_PAIR_TOTAL=6 FIXEDPOINT_PAIR_PASS=6 FIXEDPOINT_PAIR_FAIL=0	PASS	c3/c3-fixedpoint.txt	6/6 equal YES	see_c3_fixedpoint	G0==G1==G2==G3
AC28	PRISTINE_FIXEDPOINT=PASS MUTATED_FIXEDPOINT=FAIL PRISTINE_FIXEDPOINT_RECHECK=PASS	PASS	c3/c3-fixedpoint-negative-control.txt	byte_mismatch_detected_yes	rc=1_then_0	see_c3_fp_neg	causal load-bearingness
AC29	GENERATION_COPY_DETECTED=YES	PASS	c3/c3-generation-copy-control.txt	forged=G1 detected rc=1	see_c3_gen_copy	verifier_rejects_forgery
AC30	LEGACY_PRODUCTION_AUTHORITY_PRESERVED=YES	PASS	c3/c3-production-authority.txt	src/parser.c_sha_unchanged	parser_sha=7a4a0935	matched C0
AC31	POLYC_PRODUCTION_DELEGATION_COUNT=0	PASS	c3/c3-production-authority.txt	0_BootstrapCalcPadding_refs_in_src	parser_sha=7a4a0935	no production caller migrated
AC32	PARSER_PRODUCTION_SOURCE_DELTA=0	PASS	c3/c3-production-authority.txt	src/parser.c_lines_2938=2938	parser_sha=7a4a0935	body and call sites unchanged
AC33	PARSER_LAYOUT_CONSERVATION=PASS	PASS	c3/c3-parser-layout-conservation.txt	5/5 PASS	see_c3_parser_layout	class/union/alignof/U0_tail
AC34	PARSER_CONSERVATION_NEW_FAILURES=0	PASS	c3/c3-parser-test-conservation.txt	16/16 PASS	see_c3_parser_tests	no new failures
AC35	LEXER01_CONSERVATION=PASS	PASS	c3/c3-lexer01-conservation.txt	by-construction	see_c3_lexer01	no src/lexer.c mutation
AC36	LEXER02_CONSERVATION=PASS	PASS	c3/c3-lexer02-conservation.txt	by-construction	see_c3_lexer02	no src/lexer.c mutation
AC37	LEXER03_CONSERVATION=PASS	PASS	c3/c3-lexer03-conservation.txt	by-construction	see_c3_lexer03	no src/lexer.c mutation
AC38	LEXER04_CONSERVATION=PASS	PASS	c3/c3-lexer04-conservation.txt	by-construction	see_c3_lexer04	no src/lexer.c mutation
AC39	NEW_LEXER07_FAILURES=0	PASS	c3/c3-lexer07-delta.txt	no_new_failures	see_c3_lexer07	zero src/lexer.c delta
AC40	NEW_SUBSTANTIVE_NON_POLYC_TOOLS=0	PASS	c3/c3-f-polyc-tools.txt	6_polyc_tools_c_oracle_ref_only	see_c3_f_polyc	C tool is semantic reference
AC41	NEW_SHELL_WRAPPERS_OVER_50_LOC=0	PASS	c3/c3-f-polyc-tools.txt	no_shell_wrappers_added	see_c3_f_polyc	zero new shell files
AC42	NEW_PYTHON_SOURCES=0 NEW_PYTHON_INVOCATIONS=0 NEW_PYTHON_FALLBACKS=0	PASS	c3/c3-f-no-python.txt	no_python_added	see_c3_f_no_python	F-NO-PYTHON clean
AC43	CLOSED_EVIDENCE_DELTA=0 CLOSED_HANDOFF_DELTA=0	PASS	c3/c3-f14.txt	no_closed_artifact_modified	see_c3_f14	F14 immutable
AC44	PLACEHOLDER_EVIDENCE_COUNT=0	PASS	c3/c3-*.txt	captured_command_output_and_tables	see_c3_evidence	every PASS backed by witness
AC45	GATE_FAST=PASS	PASS	c3/c3-factory-gates.txt	VERDICT=PASS	see_c3_gates	gate-fast green
AC46	APPEND_ONLY_FAIL=0	PASS	c3/c3-append-only.txt	PASS=11 FAIL=0	see_c3_append_only	11/11 NC tests pass
AC47	PATCH_HYGIENE_ERRORS=0	PASS	c3/c3-patch-hygiene.txt	empty diff --check	see_c3_patch	hygiene clean
AC48	C3_IMPLEMENTATION_SOURCE_DELTA=0	PASS	c3/c3-phase-purity.txt	no_tools_or_makefile_change	see_c3_purity	C3 evidence-only
AC49	WORKTREE_CLEAN_AT_CLOSE=YES	DEFERRED_TO_C4	n/a	resolved_at_C4	close-bound	deferred per ACT §72
AC50	EXACT_COMMIT_COUNT_AT_CLOSE=5 POST_C4_COMMIT_COUNT=0	DEFERRED_TO_C4	n/a	resolved_at_C4	close-bound	deferred per ACT §72
