file	line	function	authority_region	selfhost_status	gating	notes
src/lexer.c	737	lexPushString	lexer/state	LEGACY_C	NONE	file push
src/lexer.c	763	lexSkipCodeComment	lexer/trivia	PARTIAL_SELFHOSTED	#ifdef HCC_USE_SELFHOST_COMPONENTS → BootstrapScanTrivia (LEXER03); #else branch remains LEXER04 (LEXER03 closing comment)
src/lexer.c	916	lexIdentifier	lexer/ident	PARTIAL_SELFHOSTED	#ifdef HCC_USE_SELFHOST_COMPONENTS → BootstrapScanIdent (LEXER01)
src/lexer.c	1020	lexString	lexer/string	LEGACY_C	NONE	string literal scan (not yet on candidate list)
src/lexer.c	1127	lexCharConst	lexer/scalar	PARTIAL_SELFHOSTED	#ifdef → BootstrapScanScalarLiteral (LEXER02)
src/lexer.c	1264	lexNumeric	lexer/scalar	PARTIAL_SELFHOSTED	#ifdef → BootstrapScanScalarLiteral (LEXER02)
src/lexer.c	1333	lexPreProcDirective	lexer/preproc	LEGACY_C	NONE	# directive dispatcher
src/lexer.c	1383	lexClassifyOperator	lexer/opclass	PARTIAL_SELFHOSTED	#ifdef → BootstrapClassifyOperator (LEXER01)
src/lexer.c	1581	lexCore	lexer/dispatcher	LEGACY_C	NONE	main token loop dispatcher
src/lexer.c	1874	lex	lexer/dispatcher	LEGACY_C	NONE	entry point wrapper
src/lexer.c	1882	lexInclude	lexer/preproc	LEGACY_C	NONE	#include handler
src/lexer.c	2121	lexDefine	lexer/preproc	LEGACY_C	NONE	#define handler
src/lexer.c	2237	lexUndef	lexer/preproc	LEGACY_C	NONE	#undef handler
src/lexer.c	2252	lexPreProcIf	lexer/preproc	LEGACY_C	NONE	#if/#ifdef/#elif dispatcher
src/lexer.c	2388	lexPreProcBoolean	lexer/preproc	LEGACY_C	NONE	#if boolean evaluator
src/lexer.c	2496	lexSetAsmFlags	lexer/preproc	LEGACY_C	NONE	#asm flag setter
src/lexer.c	2500	lexUnSetAsmFlags	lexer/preproc	LEGACY_C	NONE	#asm flag unsetter
src/lexer.c	2504	lexToken	lexer/dispatcher	LEGACY_C	NONE	entry dispatcher
src/lexer.c	2609	lexemeFree	lexer/support	LEGACY_C	NONE	arena free
src/lexer.c	2616	lexReleaseLexFile	lexer/state	LEGACY_C	NONE	file release
src/lexer.c	2620	lexReleaseAllFiles	lexer/state	LEGACY_C	NONE	file release
src/lexer.c	2625	lexerReportLine	lexer/support	LEGACY_C	NONE	diagnostic
src/lexer.c	2661	lexemeEq	lexer/support	LEGACY_C	NONE	lexeme query
src/parser.c	23-33	parseStatement (decls)	parser/forward	LEGACY_C	NONE	parser forward decls
src/parser.c	40	parseRegModifier	parser/decl	LEGACY_C	NONE	asm register modifier
src/parser.c	62	getRangeLoopIdx	parser/expression	LEGACY_C	NONE	range loop helper
src/parser.c	68	parseFloatingCharConst	parser/expression	LEGACY_C	NONE	chr() const
src/parser.c	99	parseTypeCheckClassFieldInitaliser	parser/decl	LEGACY_C	NONE	class field init checker
src/parser.c	121	parseFoldInitElement	parser/expression	LEGACY_C	NONE	init fold
src/parser.c	157	parseDeclArrayInitInt	parser/decl	LEGACY_C	NONE	array int initializer
src/parser.c	238	parseFlattenAnnonymous	parser/decl	LEGACY_C	NONE	anon class flatten
src/parser.c	265	clsFieldNew	parser/decl	LEGACY_C	NONE	class field alloc
src/parser.c	272	parseClassOrUnionFields	parser/decl	LEGACY_C	NONE	class/union fields
src/parser.c	397	CalcUnionSize	parser/decl	LEGACY_C	NONE	class layout
src/parser.c	410	CalcClassSize	parser/decl	LEGACY_C	NONE	class layout
src/parser.c	430	CalcPadding	parser/decl	LEGACY_C	NONE	class layout
src/parser.c	440	parseClassOffsets	parser/decl	LEGACY_C	NONE	class layout
src/parser.c	530	parseUnionOffsets	parser/decl	LEGACY_C	NONE	class layout
src/parser.c	562	parseClassOrUnion	parser/decl	LEGACY_C	NONE	class declaration
src/parser.c	676	parseClassDef	parser/decl	LEGACY_C	NONE	class declaration
src/parser.c	680	parseUnionDef	parser/decl	LEGACY_C	NONE	union declaration
src/parser.c	686	parseVariableAssignment	parser/expression	LEGACY_C	NONE	assignment parsing
src/parser.c	748	parseVariableInitialiser	parser/decl	LEGACY_C	NONE	declaration init
src/parser.c	763	parseDecl	parser/decl	LEGACY_C	NONE	declaration entry
src/parser.c	791	parseValidPostControlFlowToken	parser/expression	LEGACY_C	NONE	control flow check
src/parser.c	831	parseIfClause	parser/statement	LEGACY_C	NONE	if/elif clause
src/parser.c	878	parseIfStatement	parser/statement	LEGACY_C	NONE	if statement
src/parser.c	941	parseOptDeclOrStmt	parser/statement	LEGACY_C	NONE	optional decl/stmt
src/parser.c	950	parseOptExpr	parser/expression	LEGACY_C	NONE	optional expr
src/parser.c	962	parseDesugarArrayLoop	parser/expression	LEGACY_C	NONE	array loop sugar
src/parser.c	1003	parseAssertContainerHasFields	parser/expression	LEGACY_C	NONE	container assert
src/parser.c	1029	parseCreateForRange	parser/expression	LEGACY_C	NONE	for-range
src/parser.c	1058	parseRangeLoop	parser/expression	LEGACY_C	NONE	range loop
src/parser.c	1122	parseForLoopInitialiser	parser/expression	LEGACY_C	NONE	for init
src/parser.c	1171	parseForStatement	parser/statement	LEGACY_C	NONE	for statement
src/parser.c	1225	parseWhileStatement	parser/statement	LEGACY_C	NONE	while statement
src/parser.c	1259	parseDoWhileStatement	parser/statement	LEGACY_C	NONE	do-while statement
src/parser.c	1305	parseBreakStatement	parser/statement	LEGACY_C	NONE	break statement
src/parser.c	1314	parseContinueStatement	parser/statement	LEGACY_C	NONE	continue statement
src/parser.c	1323	parseReturnStatement	parser/statement	LEGACY_C	NONE	return statement
src/parser.c	1359	parseTryStatement	parser/statement	LEGACY_C	NONE	try statement
src/parser.c	1381	parseThrowStatement	parser/statement	LEGACY_C	NONE	throw statement
src/parser.c	1389	parseRaiseCaseException	parser/statement	LEGACY_C	NONE	case exception
src/parser.c	1397	parseCaseLabel	parser/statement	LEGACY_C	NONE	case label
src/parser.c	1483	parseDefaultStatement	parser/statement	LEGACY_C	NONE	default label
src/parser.c	1508	parseSwitchStatement	parser/statement	LEGACY_C	NONE	switch statement
src/parser.c	1572	createFunctionLevelGotoLabel	parser/statement	LEGACY_C	NONE	goto label
src/parser.c	1578	parseStatement	parser/statement	LEGACY_C	NONE	statement dispatch
src/parser.c	1741	parseDeclOrStatement	parser/statement	LEGACY_C	NONE	decl-or-stmt dispatch
src/parser.c	1752	parseCompoundStatementInternal	parser/compound	LEGACY_C	NONE	compound statement body
src/parser.c	1882	parseCompoundStatement	parser/compound	LEGACY_C	NONE	compound entry
src/parser.c	2013	parseFunctionDef	parser/decl	LEGACY_C	NONE	function definition
src/parser.c	2331	parseExternFunctionProto	parser/decl	LEGACY_C	NONE	extern proto
src/parser.c	2352	parseFunctionOrDef	parser/decl	LEGACY_C	NONE	function-or-def dispatch
src/parser.c	2414	parseAsmFunctionBinding	parser/decl	LEGACY_C	NONE	asm binding
src/parser.c	2478	parseToplevelDef	parser/toplevel	LEGACY_C	NONE	top-level def dispatch
src/parser.c	2851	parseToAst	parser/toplevel	LEGACY_C	NONE	parser entry
src/prslib.c	18	parseSubscriptExpr (decl)	parser/expression	LEGACY_C	NONE	decl
src/prslib.c	20	parseAssignAuto	parser/expression	LEGACY_C	NONE	auto assignment
src/prslib.c	38	parseReturnAuto	parser/expression	LEGACY_C	NONE	auto return
src/prslib.c	57	parsePointerType	parser/type	LEGACY_C	NONE	pointer type
src/prslib.c	70	parseFunctionPointerType	parser/type	LEGACY_C	NONE	function pointer type
src/prslib.c	91	parseFunctionPointer	parser/type	LEGACY_C	NONE	function pointer parsing
src/prslib.c	113	parseDefaultFunctionParam	parser/decl	LEGACY_C	NONE	default param
src/prslib.c	121	parseParams	parser/decl	LEGACY_C	NONE	parameter list
src/prslib.c	279	parseBaseDeclSpec	parser/decl	LEGACY_C	NONE	decl spec
src/prslib.c	300	parseDeclSpec	parser/decl	LEGACY_C	NONE	decl spec
src/prslib.c	312	parseArrayDimensionsInternal	parser/type	LEGACY_C	NONE	array dimensions
src/prslib.c	387	parseArrayDimensions	parser/type	LEGACY_C	NONE	array dimensions
src/prslib.c	396	parseFullType	parser/type	LEGACY_C	NONE	full type parse
src/prslib.c	401	parseDeclInternal	parser/decl	LEGACY_C	NONE	decl internal
src/prslib.c	420	findFunctionDecl	parser/decl	LEGACY_C	NONE	function lookup
src/prslib.c	439	parseGetFunctionParams	parser/decl	LEGACY_C	NONE	param getter
src/prslib.c	450	parseFunctionArgumentCheck	parser/decl	LEGACY_C	NONE	argument check
src/prslib.c	526	parseFlattenDefaultArgs	parser/decl	LEGACY_C	NONE	default arg flatten
src/prslib.c	571	parsePromoteVarargFloats	parser/decl	LEGACY_C	NONE	vararg float promote
src/prslib.c	584	parseCoerceArgs	parser/decl	LEGACY_C	NONE	arg coercion
src/prslib.c	760	parseCountPrintfFormatSpecs	parser/expression	LEGACY_C	NONE	printf check
src/prslib.c	798	parseFormatArgIdx	parser/expression	LEGACY_C	NONE	printf check
src/prslib.c	818	parsePeekArgAt	parser/expression	LEGACY_C	NONE	printf check
src/prslib.c	852	parsePrintfFormatCheck	parser/expression	LEGACY_C	NONE	printf check
src/prslib.c	988	parseIdentifierOrFunction	parser/expression	LEGACY_C	NONE	ident/function
src/prslib.c	1069	parsePrimary	parser/expression	LEGACY_C	NONE	primary expr
src/prslib.c	1139	parseGetPriority	parser/expression	LEGACY_C	NONE	binop priority
src/prslib.c	1269	parseCompoundAssign	parser/expression	LEGACY_C	NONE	compound assign
src/prslib.c	1293	astBinOpToTokenPunct	parser/expression	LEGACY_C	NONE	binop helper
src/prslib.c	1305	parseSubscriptExpr (def)	parser/expression	LEGACY_C	NONE	subscript expr
src/prslib.c	1322	parseGetClassField	parser/expression	LEGACY_C	NONE	class field
src/prslib.c	1480	parseSizeof	parser/expression	LEGACY_C	NONE	sizeof
src/prslib.c	1521	parseAlignof	parser/expression	LEGACY_C	NONE	alignof
src/prslib.c	1546	parseTypeof	parser/expression	LEGACY_C	NONE	typeof
src/prslib.c	1571	parsePostFixExpr	parser/expression	LEGACY_C	NONE	postfix expr
src/prslib.c	1655	parseUnaryExpr	parser/expression	LEGACY_C	NONE	unary expr
src/prslib.c	1719+	parseExpr	parser/expression	LEGACY_C	NONE	expression dispatch
src/prsutil.c	9	align	parser/util	LEGACY_C	NONE	alignment helper
src/prsutil.c	43	parseIsFunctionCall	parser/util	LEGACY_C	NONE	ast query
src/prsutil.c	49	assertIsFloat	parser/util	LEGACY_C	NONE	assertion
src/prsutil.c	56	assertIsInt	parser/util	LEGACY_C	NONE	assertion
src/prsutil.c	63	assertIsFloatOrInt	parser/util	LEGACY_C	NONE	assertion
src/prsutil.c	70	assertIsPointer	parser/util	LEGACY_C	NONE	assertion
src/prsutil.c	77	assertionTerminatorMessage	parser/util	LEGACY_C	NONE	diagnostic
src/prsutil.c	97	assertTokenIsTerminator	parser/util	LEGACY_C	NONE	terminator check
src/prsutil.c	142	assertTokenIsTerminatorWithMsg	parser/util	LEGACY_C	NONE	terminator check
src/prsutil.c	170	parseGetType	parser/util	LEGACY_C	NONE	type query
src/prsutil.c	180	parseIsKeyword	parser/util	LEGACY_C	NONE	keyword check
src/prsutil.c	184	evalClassRef	parser/util	LEGACY_C	NONE	const eval
src/prsutil.c	190	astIsArithmetic	parser/util	LEGACY_C	NONE	ast query
src/prsutil.c	212	astCanEval	parser/util	LEGACY_C	NONE	const eval
src/prsutil.c	226	evalFloatExprOrErr	parser/util	LEGACY_C	NONE	const eval
src/prsutil.c	275	evalFloatExpr	parser/util	LEGACY_C	NONE	const eval
src/prsutil.c	284	evalIntArithmeticOrErr	parser/util	LEGACY_C	NONE	const eval
src/prsutil.c	329	evalOneIntExprOrErr	parser/util	LEGACY_C	NONE	const eval
src/prsutil.c	356	evalIntConstExprOrErr	parser/util	LEGACY_C	NONE	const eval
src/prsutil.c	458	evalIntConstExpr	parser/util	LEGACY_C	NONE	const eval
src/prsutil.c	467	assertLValue	parser/util	LEGACY_C	NONE	ast check
src/prsutil.c	483	assertUniqueSwitchCaseLabels	parser/util	LEGACY_C	NONE	switch check
src/prsutil.c	500	typeCheckWarn	parser/util	LEGACY_C	NONE	type check
src/prsutil.c	519	typeCheckReturnTypeWarn	parser/util	LEGACY_C	NONE	type check
src/prsasm.c	41	prsAsmTasmArch	parser/asm	LEGACY_C	NONE	asm arch parse
src/prsasm.c	51	prsAsmCreateErrorLineAt	parser/asm	LEGACY_C	NONE	asm diag
src/prsasm.c	69	prsAsmDiagSink	parser/asm	LEGACY_C	NONE	asm diag
src/prsasm.c	195	prsAsm	parser/asm	LEGACY_C	NONE	asm block parser
