name	src	cursor	flags	observed_kind	observed_err	observed_strlen	observed_i64	src_len	is_numeric	is_char	is_negative	is_edge
chr_zero	'\\0';	0		3	0	1	0	6	0	1	0	0
chr_dollar	'\\d';	0		3	0	1	24	6	0	1	0	0
chr_x41	'\\x41';	0		3	0	1	41	8	0	1	0	0
chr_xFF	'\\xFF';	0		3	0	1	ff	8	0	1	0	0
chr_x00	'\\x00';	0		3	0	1	0	8	0	1	0	0
chr_x2A	'\\x2A';	0		3	0	1	2a	8	0	1	0	0
chr_ab	'ab';	0		3	0	2	6261	5	0	1	0	0
chr_abc	'abc';	0		3	0	3	636261	6	0	1	0	0
chr_8slots	'abcdefgh';	0		3	0	8	6867666564636261	11	0	1	0	0
chr_a_nl_b	'a\\nb';	0		3	0	3	620a61	8	0	1	0	0
chr_dq_escaped	'\\\	0		3	0	2	7822	4	0	1	0	0
chr_sq_escaped	'\\'x';	0		3	0	2	7827	7	0	1	0	0
chr_no_semi	'a'	0		3	0	1	61	3	0	1	0	0
chr_with_semi_space	'a' 	0		3	0	1	61	4	0	1	0	0
chr_overflow	'abcdefghij';	0		3	3	10	6867666564636261	13	0	1	1	0
chr_8slots_overflow	'abcdefghi';	0		3	3	9	6867666564636261	12	0	1	1	0
chr_unterm	'abc	0		3	2	3	636261	4	0	1	1	0
chr_unterm_at_eof	'a	0		3	2	1	61	2	0	1	1	0
err_hex_with_dot2	0x.5;	0		4	1	0	0	5	0	0	1	0
err_hex_with_e2	0xFe;	0		1	0	4	fe	5	1	0	0	0
err_two_x_letters2	0xx1;	0		4	1	0	0	5	0	0	1	0
err_two_dots2	1.2.3;	0		4	1	0	0	6	0	0	1	0
err_trailing_dot	1.;	0		2	0	2	0	3	1	0	0	0
err_lone_dot	.	0		2	0	1	0	1	1	0	0	0
err_two_e_letters2	1e2e3;	0		4	1	0	0	6	0	0	1	0
err_e_no_digits	1e	0		1	0	2	1	2	1	0	0	0
err_e_trailing_minus	1e-	0		1	0	2	1	3	1	0	0	0
err_char_unterm	'abc	0		3	2	3	636261	4	0	1	1	0
err_char_overflow	'abcdefghij';	0		3	3	10	6867666564636261	13	0	1	1	0
err_char_8slots_overflow	'abcdefghi';	0		3	3	9	6867666564636261	12	0	1	1	0
err_char_unterm_eof	'a	0		3	2	1	61	2	0	1	1	0
err_cur_on_letter	abc;	0		0	0	0	0	4	0	0	0	0
err_cur_on_op	+abc;	0		0	0	0	0	5	0	0	0	0
err_cur_at_eof	42	2		0	0	0	0	2	0	0	0	1
cur_past_end	1;	5		0	0	0	0	2	0	0	0	1
cur_negative	1;	-1		0	0	0	0	2	0	0	0	1
cur_at_boundary	1;	1		0	0	0	0	2	0	0	0	0
