CANDIDATE	ORCH	NON_SEM	ALREADY	DEAD	TOO_COUP	SUPER	NOTES
parseFullType	NO	NO	NO	NO	YES	NO	wraps parseDeclSpec + parseArrayDimensions
parseArrayDimensionsInternal	NO	NO	NO	NO	YES	NO	reaches parseExpr, cctrlTokenExpect; recursive; cctrlRaiseException
parseArrayDimensions	NO	NO	NO	NO	YES	NO	wraps parseArrayDimensionsInternal; not host-graph-coupled
parseDeclInternal	NO	NO	NO	NO	YES	NO	mutates cc->localenv, cc->tmp_locals
parseRegModifier	NO	NO	NO	NO	NO	NO	reads token via cctrlTokenPeek/Get; cctrlRaiseException on error
parseFloatingCharConst	NO	NO	NO	NO	YES	NO	cctrlGetOrSetString, vecPush, astFunctionCall; allocates
parseFoldInitElement	NO	NO	NO	NO	NO	NO	pure transform: input Ast* + AstType* dst -> Ast*; recursive but immutable to inputs
parseTypeCheckClassFieldInitaliser	NO	NO	NO	NO	YES	NO	cctrlWarning; diagnostic emission
parseDeclArrayInitInt	NO	NO	NO	NO	YES	NO	mutates List initlist; reaches parseExpr, parseFoldInitElement, astArrayInit
createFunctionLevelGotoLabel	NO	NO	NO	NO	YES	NO	allocates AoStr; reads cc->tmp_fname
parseRaiseCaseException	NO	NO	NO	NO	YES	NO	diagnostic helper: cctrlRewindUntilStrMatch + cctrlRaiseExceptionFromTo
parseIfClause	NO	NO	NO	NO	YES	NO	mutates cc->localenv, cc->tmp_locals; cctrlRaiseException
parseCreateForRange	NO	NO	NO	NO	YES	NO	ast construction; reaches parseCreateBinaryOp
parseAssertContainerHasFields	NO	NO	NO	NO	YES	NO	cctrlRaiseException
clsFieldNew	NO	YES	NO	NO	NO	NO	pure malloc wrapper: AstType* + AoStr* -> ClsField*
astIsConstTrueCond	NO	YES	NO	NO	NO	NO	pure: AST literal of int type with non-zero i64
astStmtHasBreak	NO	YES	NO	NO	NO	NO	pure tree walk: returns 1 if any nested AST_BREAK escapes enclosing loop/switch
astStmtFallsThrough	NO	YES	NO	NO	NO	NO	pure tree walk: returns 1 if control flow may run off end of statement list
asmTextHasReturn	NO	YES	NO	NO	NO	NO	pure text scan: returns 1 if AoStr text contains a whole-word ret/eret/iret/jmp/br/b
parseValidPostControlFlowToken	NO	NO	NO	NO	NO	NO	pure predicate: tk_type + i64 + keyword value match -> int
getRangeLoopIdx	NO	YES	NO	NO	NO	NO	static int counter; non-deterministic across runs (FORBIDDEN for self-host)
tokenPunctIs	NO	YES	NO	NO	NO	NO	already a pure 1-line helper (lexer); see c1-known-positive-selfhosted-control.txt
tokenIdentIs	NO	YES	NO	NO	NO	NO	already a pure 1-line helper (lexer); non-parser domain
