path	language	role	compiler_semantic_authority	runtime_reachable	bootstrap_reachable	grandfathered	migration_relevance	evidence
src/holyc-lib/threads.o	POLYC + C	HolyC threads module (compiled)	NO (runtime, not compiler)	YES	YES	YES (pre-existing)	NONE (runtime)	src/holyc-lib/threads.HC + .o
src/holyc-lib/vector.o	POLYC + C	HolyC vector module (compiled)	NO (runtime, not compiler)	YES	YES	YES (pre-existing)	NONE (runtime)	src/holyc-lib/vector.HC + .o
src/holyc-lib/list.o	POLYC + C	HolyC list module (compiled)	NO (runtime, not compiler)	YES	YES	YES (pre-existing)	NONE (runtime)	src/holyc-lib/list.HC + .o
src/holyc-lib/except.o	POLYC + C	HolyC except module (compiled)	NO (runtime, not compiler)	YES	YES	YES (pre-existing)	NONE (runtime)	src/holyc-lib/except.HC + .o
Makefile	make	Build orchestration (compiler + quality tooling)	NO	YES	YES	YES (pre-existing)	NONE (build, not compiler)	Makefile top-level target list
src/CMakeLists.txt	cmake	CMake build (legacy; superseded by Makefile for self-host path)	NO	YES	YES	YES (pre-existing)	NONE (build, not compiler)	src/CMakeLists.txt
tools/quality/bootstrap02-corpus-runner.py	PYTHON (GRANDFATHERED)	Bootstrap02 corpus runner (host-language)	NO (test runner, not compiler)	YES	YES	YES (POLYC_TOOLS_TRACKED_PYTHON=12 baseline; pre-existing)	NONE (cleanup-only; not a self-host blocker)	factory-no-python-check baseline
tools/quality/bootstrap02-error-corpus.py	PYTHON (GRANDFATHERED)	Bootstrap02 error corpus generator	NO	YES	YES	YES	NONE	factory-no-python-check baseline
tools/quality/bootstrap03-corpus-runner.py	PYTHON (GRANDFATHERED)	Bootstrap03 corpus runner	NO	YES	YES	YES	NONE	factory-no-python-check baseline
tools/quality/bootstrap03-error-corpus.py	PYTHON (GRANDFATHERED)	Bootstrap03 error corpus generator	NO	YES	YES	YES	NONE	factory-no-python-check baseline
tools/quality/bootstrap04-corpus-runner.py	PYTHON (GRANDFATHERED)	Bootstrap04 corpus runner	NO	YES	YES	YES	NONE	factory-no-python-check baseline
tools/quality/bootstrap04-error-corpus.py	PYTHON (GRANDFATHERED)	Bootstrap04 error corpus generator	NO	YES	YES	YES	NONE	factory-no-python-check baseline
scripts/quality/llvm-cap-table-verifier.py	PYTHON (GRANDFATHERED)	LLVM cap-table verifier (test helper)	NO	YES	YES	YES	NONE	factory-no-python-check baseline
scripts/quality/factory-append-only-test.sh	SHELL	Factory append-only-history verifier	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
scripts/quality/factory-closure-status-check.sh	SHELL	Factory closure status checker	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
scripts/quality/factory-no-python-check.sh	SHELL	Factory no-python wrapper	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
scripts/quality/factory-halt-classification-check.sh	SHELL	Factory halt classification checker	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
scripts/quality/factory-halt-classification-test.sh	SHELL	Factory halt classification test	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
scripts/quality/factory-v2-commit-msg-check.sh	SHELL	Factory v2 commit-msg trailer validator	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
scripts/quality/factory-v2-range-check.sh	SHELL	Factory v2 range validator	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
scripts/quality/factory-v2-test.sh	SHELL	Factory v2 test	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
scripts/quality/formal-dafny.sh	SHELL	Formal/Dafny orchestrator (untouched)	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
scripts/quality/gate-fast.sh	SHELL	gate-fast shell wrapper	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
scripts/quality/gate-push.sh	SHELL	gate-push shell wrapper	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
scripts/quality/harness-evidence-isolation-test.sh	SHELL	Harness evidence isolation test	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
scripts/quality/inventory.sh	SHELL	Inventory shell helper	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
scripts/quality/ir-return-slot-forwarding01-test.sh	SHELL	IR return-slot-forwarding test	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
scripts/quality/lexer07-broad-corpus-4-stage.sh	SHELL	Lexer07 broad corpus 4-stage launcher	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
scripts/quality/lexer07-c01-ac05.sh	SHELL	Lexer07 C01 AC05 launcher	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
scripts/quality/lexer07-c01-ac06.sh	SHELL	Lexer07 C01 AC06 launcher	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
scripts/quality/lexer07-c01-ac07.sh	SHELL	Lexer07 C01 AC07 launcher	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
scripts/quality/lexer07-fixture-inventory.sh	SHELL	Lexer07 fixture inventory	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
scripts/quality/lexer08-trivia-fixedpoint.sh	SHELL	Lexer08 trivia fixed-point launcher	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
scripts/quality/llvm-byte-memory01-test.sh	SHELL	LLVM byte-memory01 test	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
scripts/quality/llvm-closure-status-check.sh	SHELL	LLVM closure status checker	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
scripts/quality/llvm-float01-test.sh	SHELL	LLVM float01 test	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
scripts/quality/llvm-intops01-test.sh	SHELL	LLVM intops01 test	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
scripts/quality/llvm-memory01-nc5-probe.sh	SHELL	LLVM memory01 NC5 probe	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
scripts/quality/llvm-memory01-red-test.sh	SHELL	LLVM memory01 RED test	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
scripts/quality/llvm-memory01-test.sh	SHELL	LLVM memory01 test	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
scripts/quality/llvm-spike-contract-check.sh	SHELL	LLVM spike contract check	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
scripts/quality/llvm-spike-test.sh	SHELL	LLVM spike test	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
scripts/quality/native-x86-float-cmp-parity01-test.sh	SHELL	Native x86 float-cmp-parity test	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
scripts/quality/selfhost-component-registry.sh	SHELL	Selfhost component registry	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
scripts/quality/shell-budget-gate-test.sh	SHELL	Shell budget gate test	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
scripts/quality/shell-budget-gate.sh	SHELL	Shell budget gate	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
scripts/quality/shell-loc-gate.sh	SHELL	Shell LOC gate	NO	YES	YES	YES (pre-existing)	NONE	scripts/quality/
tools/quality/bootstrap01-lexer-oracle.c	C	Legacy-C oracle for the bootstrap01 lexer (used by LEXER03 differential)	NO (oracle; not compiler)	YES (build)	YES	YES (pre-existing)	NONE (oracle)	tools/quality/bootstrap01-lexer-oracle.c
tools/quality/bootstrap02-ident-host.c	C	Production-seam host for BootstrapScanIdent	NO	YES	YES	YES (pre-existing)	NONE	tools/quality/bootstrap02-ident-host.c
tools/quality/bootstrap02-ident-oracle.c	C	Legacy-C oracle for BootstrapScanIdent	NO	YES	YES	YES (pre-existing)	NONE	tools/quality/bootstrap02-ident-oracle.c
tools/quality/bootstrap02-cursor-host.c	C	Production-seam cursor host	NO	YES	YES	YES (pre-existing)	NONE	tools/quality/bootstrap02-cursor-host.c
tools/quality/bootstrap02-cursor-oracle.c	C	Legacy-C cursor oracle	NO	YES	YES	YES (pre-existing)	NONE	tools/quality/bootstrap02-cursor-oracle.c
tools/quality/bootstrap02-lexer-seam-runner.c	C	Production-seam runner for lexer	NO	YES	YES	YES (pre-existing)	NONE	tools/quality/bootstrap02-lexer-seam-runner.c
tools/quality/bootstrap02-abi-host.c	C	ABI host for lexer production seam	NO	YES	YES	YES (pre-existing)	NONE	tools/quality/bootstrap02-abi-host.c
tools/quality/bootstrap06-direct-differential.c	C	Bootstrap06 operator-classify differential host	NO	YES	YES	YES (pre-existing)	NONE	tools/quality/bootstrap06-direct-differential.c
tools/quality/bootstrap06-lexer-seam-runner.c	C	Bootstrap06 lexer seam runner	NO	YES	YES	YES (pre-existing)	NONE	tools/quality/bootstrap06-lexer-seam-runner.c
tools/quality/bootstrap06-operator-classify-oracle.c	C	Bootstrap06 operator-classify oracle	NO	YES	YES	YES (pre-existing)	NONE	tools/quality/bootstrap06-operator-classify-oracle.c
tools/quality/lexer07-direct-differential.c	C	Lexer07 differential host	NO	YES	YES	YES (pre-existing)	NONE	tools/quality/lexer07-direct-differential.c
tools/quality/lexer07-real-seam-runner.c	C	Lexer07 real-seam runner	NO	YES	YES	YES (pre-existing)	NONE	tools/quality/lexer07-real-seam-runner.c
tools/quality/lexer07-scalar-literal-oracle.c	C	Lexer07 scalar literal oracle	NO	YES	YES	YES (pre-existing)	NONE	tools/quality/lexer07-scalar-literal-oracle.c
tools/quality/lexer08-direct-differential.c	C	Lexer08 trivia differential host	NO	YES	YES	YES (pre-existing)	NONE	tools/quality/lexer08-direct-differential.c
tools/quality/lexer08-real-seam-runner.c	C	Lexer08 trivia real-seam runner	NO	YES	YES	YES (pre-existing)	NONE	tools/quality/lexer08-real-seam-runner.c
tools/quality/lexer08-trivia-oracle.c	C	Lexer08 trivia oracle (host)	NO	YES	YES	YES (pre-existing)	NONE	tools/quality/lexer08-trivia-oracle.c
tools/quality/lexer08-trivia-oracle-impl.c	C	Lexer08 trivia oracle implementation	NO	YES	YES	YES (pre-existing)	NONE	tools/quality/lexer08-trivia-oracle-impl.c
