ac_id	exact_predicate	predicate_sha256	mandatory	phase
AC32	LEXER07_NEW_FAILURES=0; LEXER08_BROAD_CORPUS=PASS; LEXER09_BROAD_CORPUS=PASS	db2fbf55e6daab2839823338955b5658978abe17011af818f731aeced31929eb	YES	C3
AC33	NEW_SUBSTANTIVE_NON_POLYC_TOOLS=0	8020231a0d8630e85c686faf79dd20ff6a4954d8c601dacb9dc7d243f143ee04	YES	C3
AC34	NEW_PYTHON_SOURCES=0; NEW_PYTHON_INVOCATIONS=0	997183ac58a535afaadf537dbc17889fa2b3990db9a3668d42457b9d7873ac37	YES	C3
AC35	CLOSED_EVIDENCE_DELTA=0; CLOSED_HANDOFF_DELTA=0	51ac9c1bd43ae63415f6bb322dd127da4ac0449138a7f2bc8c595fdfeb597324	YES	C3
AC36	C2_TO_C3_FROZEN=YES	310217ee0be12ff556a671a23bba79e2288cc2a4cb41a5cdf9498c9a053f243a	YES	C3
AC37	C3_PHASE_PURITY=PASS	79f48128ab08b21933823457ff0f82c0fdbb80da67e9d71eaa8f2533c454b136	YES	C3
AC38	GATE_FAST=PASS; APPEND_ONLY_FAIL=0	34ef8c489c6c352e7d1ab6a463f6fc45dc7913107bb7070b24ad34042abfa884	YES	C3
AC39	PATCH_HYGIENE_ERRORS=0	6b02ab623008dfb0903875e03ba422b8aad215160ca77df730449050f6fb68c5	YES	C3
AC40	CORRECTION04_COMMIT_COUNT=5; C0_C1_C2_C3_C4_ORDER=YES	3145e2305ab6b9dbc55576872c0d67177dfe5bbd182f296330942ed4ed2b9131	YES	C3
AC41	WORKTREE_CLEAN_AFTER_C4=YES	ad212515139af2b80eb3de1a36dd9666d9d7a956d6819b8521c3b49827c59645	YES	C3
AC42	POST_C4_COMMIT_COUNT=0	719b638f65748b768b0990f058319fcfe548aaf616ded05d8725e99ed087e699	YES	C3
