ac_id	witness_id	evidence_path	witness_kind	key	operator	expected_value	mandatory
AC10	w13	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-component-fixedpoint.txt	KV	COMPONENT_PAIR_PASS	EQ	6	YES
AC10	w14	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-component-fixedpoint.txt	KV	COMPONENT_PAIR_FAIL	EQ	0	YES
AC11	w15	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-semantic-postmigration.txt	KV	POST_MIGRATION_PAIR_PASS	EQ	3	YES
AC11	w16	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-semantic-postmigration.txt	KV	POST_MIGRATION_PAIR_FAIL	EQ	0	YES
AC12	w17	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-semantic-postmigration.txt	KV	OBSERVED_MIGRATION_FIXTURE_SET	EQ	L07	YES
AC13	w18	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-semantic-g0-migration-delta.txt	KV	NON_MIGRATION_G0_DIVERGENCE_COUNT	EQ	0	YES
AC13	w19	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-semantic-g0-migration-delta.txt	KV	G0_UNEXPECTED_MIGRATION_PAIR_COUNT	EQ	0	YES
AC14	w20	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-semantic-per-fixture.tsv	KV	L07_G0	EQ	lib-complex_1co	YES
AC14	w21	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-semantic-per-fixture.tsv	KV	L07_G1	EQ	lib-complex_1.0	YES
AC14	w22	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-semantic-per-fixture.tsv	KV	L07_G2	EQ	lib-complex_1.0	YES
AC14	w23	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-semantic-per-fixture.tsv	KV	L07_G3	EQ	lib-complex_1.0	YES
AC15	w24	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-n01-output-mutation.txt	KV	SEMANTIC_OUTPUT_MUTATION_DETECTED	EQ	YES	YES
AC16	w25	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-n02-production-causal-control.txt	KV	N02_MUTATED_COMPONENT_BUILD_RC	EQ	0	YES
AC16	w26	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-n02-production-causal-control.txt	KV	N02_MUTATED_SEAM_LINK_RC	EQ	0	YES
AC16	w27	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-n02-production-causal-control.txt	KV	N02_MUTATED_SEAM_RUN_RC	EQ	0	YES
AC17	w28	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-n02-production-causal-control.txt	KV	MUTATED_COMPONENT_SHA256	MATCH_HEX64	.	YES
AC17	w29	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-n02-production-causal-control.txt	KV	COMPONENT_SHA_DIFFERS	EQ	YES	YES
AC17	w30	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-n02-production-causal-control.txt	KV	MUTATED_SEAM_SHA256	MATCH_HEX64	.	YES
AC18	w31	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-n02-production-causal-control.txt	KV	MUTATED_PRODUCTION_DIVERGENCE_DETECTED	EQ	YES	YES
AC18	w32	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-n02-production-causal-control.txt	KV	UNEXPECTED_MUTATION_DIVERGENCE_COUNT	EQ	0	YES
AC19	w33	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-n02-incomplete-witness-control.txt	KV	N02_INCOMPLETE_WITNESS_REJECTED	EQ	YES	YES
AC20	w34	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-n03-legacy-bypass.txt	KV	LEGACY_BYPASS_CONTROL_PROVES_ARCHITECTURE	EQ	YES	YES
AC21	w35	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-generation-provenance.tsv	KV	PROVENANCE_ROW_PASS	EQ	4	YES
AC21	w36	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-generation-provenance.tsv	KV	PROVENANCE_ROW_FAIL	EQ	0	YES
AC22	w37	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-nc-generation-copy.txt	KV	GENERATION_COPY_CONTROL_EXECUTED	EQ	YES	YES
AC22	w38	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-nc-generation-copy.txt	KV	GENERATION_COPY_DETECTED	EQ	YES	YES
AC22	w39	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-nc-generation-copy.txt	KV	GENERATION_COPY_VERIFIER_RC_NONZERO	EQ	YES	YES
AC23	w40	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/mandatory-ac-status.tsv	KV	AC_IDENTITY_BINDING	EQ	PASS	YES
AC24	w41	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/mandatory-ac-status.tsv	KV	EVIDENCE_SHA_MISMATCH	EQ	0	YES
AC25	w42	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/ac-witness-results.tsv	KV	WITNESS_FAIL	EQ	0	YES
AC25	w43	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/ac-witness-results.tsv	KV	WITNESS_MISSING	EQ	0	YES
AC26	w44	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-ac-id-shuffle.txt	KV	AC_ID_SHUFFLE_DETECTED	EQ	YES	YES
AC27	w45	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-evidence-sha-mutation.txt	KV	EVIDENCE_SHA_MUTATION_DETECTED	EQ	YES	YES
AC28	w46	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-predicate-lie-control.txt	KV	PREDICATE_LIE_DETECTED	EQ	YES	YES
AC29	w47	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-lexer01-conservation.txt	KV	LEXER01_CONSERVATION	EQ	PASS	YES
AC30	w48	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-lexer02-conservation.txt	KV	LEXER02_DIRECT_CONSERVATION	EQ	PASS	YES
AC31	w49	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-lexer03-conservation.txt	KV	LEXER03_CONSERVATION	EQ	PASS	YES
AC32	w50	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-broad-corpus-delta.txt	KV	LEXER07_NEW_FAILURES	EQ	0	YES
AC32	w51	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-broad-corpus-delta.txt	KV	LEXER08_BROAD_CORPUS	EQ	PASS	YES
AC32	w52	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-broad-corpus-delta.txt	KV	LEXER09_BROAD_CORPUS	EQ	PASS	YES
AC33	w53	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-f-polyc-tools.txt	KV	NEW_SUBSTANTIVE_NON_POLYC_TOOLS	EQ	0	YES
AC34	w54	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-f-no-python.txt	KV	NEW_PYTHON_SOURCES	EQ	0	YES
AC34	w55	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-f-no-python.txt	KV	NEW_PYTHON_INVOCATIONS	EQ	0	YES
AC35	w56	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-f14.txt	KV	CLOSED_EVIDENCE_DELTA	EQ	0	YES
AC35	w57	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-f14.txt	KV	CLOSED_HANDOFF_DELTA	EQ	0	YES
AC36	w58	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-c2-freeze-replay.tsv	KV	C2_TO_C3_FROZEN	EQ	YES	YES
AC37	w59	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-phase-purity.txt	KV	C3_PHASE_PURITY	EQ	PASS	YES
AC38	w60	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-factory-gates.txt	KV	GATE_FAST	EQ	PASS	YES
AC38	w61	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-factory-gates.txt	KV	APPEND_ONLY_FAIL	EQ	0	YES
AC39	w62	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-patch-hygiene.txt	KV	PATCH_HYGIENE_ERRORS	EQ	0	YES
AC40	w63	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-required-result.txt	KV	CORRECTION04_COMMIT_COUNT	EQ	5	YES
AC40	w64	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-required-result.txt	KV	C0_C1_C2_C3_C4_ORDER	EQ	YES	YES
AC41	w65	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c4/c4-parent-identity.txt	KV	WORKTREE_CLEAN_AFTER_C4	EQ	YES	YES
AC42	w66	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c4/c4-terminal-ledger.txt	KV	POST_C4_MUTATION_AUTHORIZED	EQ	NO	YES
