name	src	cursor	flags	observed_kind	observed_err	observed_strlen	src_len	is_numeric	is_char	is_negative	is_edge
flt_1_0f64	1.0f64;	0	0	2	0	6	7	1	0	0	0
exp_1e2_i64	1e2;	0	0	1	0	3	4	1	0	0	0
exp_1e_neg	1e-2;	0	0	1	0	2	5	1	0	0	0
exp_1e_plus	1e+2;	0	0	1	0	2	5	1	0	0	0
exp_2_5e10	2.5e10;	0	0	2	0	6	7	1	0	0	0
exp_3_14e_neg	3.14e-5;	0	0	2	0	5	8	1	0	0	0
err_hex_with_dot	0x.5;	0	0	4	1	0	5	0	0	1	0
err_hex_with_e	0xFe;	0	0	1	0	4	5	1	0	0	0
err_two_dots	1.2.3;	0	0	4	1	0	6	0	0	1	0
err_two_e_letters	1e2e3;	0	0	4	1	0	6	0	0	1	0
err_two_x_letters	0xx1;	0	0	4	1	0	5	0	0	1	0
nz_xx123	xx123;	2	0	1	0	3	6	1	0	0	0
nz_xx0xff	xx0xff;	2	0	1	0	4	7	1	0	0	0
nz_xx1_5	xx1.5;	2	0	2	0	3	6	1	0	0	0
nz_xx_a_	xx'a';	2	0	3	0	1	6	0	1	0	0
chr_a	'a';	0	0	3	0	1	4	0	1	0	0
chr_0	'0';	0	0	3	0	1	4	0	1	0	0
chr_sp	' ';	0	0	3	0	1	4	0	1	0	0
chr_tilde	'~';	0	0	3	0	1	4	0	1	0	0
chr_nl	'\\n';	0	0	3	0	1	5	0	1	0	0
chr_cr	'\\r';	0	0	3	0	1	5	0	1	0	0
chr_tab	'\\t';	0	0	3	0	1	5	0	1	0	0
chr_bsl	'\\\\';	0	0	3	0	1	5	0	1	0	0
chr_sq	'\\'';	0	0	3	0	1	5	0	1	0	0
chr_dq	'\\"';	0	0	3	0	1	5	0	1	0	0
chr_zero	'\\0';	0	0	3	0	1	5	0	1	0	0
chr_dollar	'\\d';	0	0	3	0	1	5	0	1	0	0
chr_x41	'\\x41';	0	0	3	0	1	7	0	1	0	0
chr_xFF	'\\xFF';	0	0	3	0	1	7	0	1	0	0
chr_x00	'\\x00';	0	0	3	0	1	7	0	1	0	0
chr_x2A	'\\x2A';	0	0	3	0	1	7	0	1	0	0
chr_ab	'ab';	0	0	3	0	2	5	0	1	0	0
chr_abc	'abc';	0	0	3	0	3	6	0	1	0	0
chr_8slots	'abcdefgh';	0	0	3	0	8	11	0	1	0	0
chr_a_nl_b	'a\\nb';	0	0	3	0	3	7	0	1	0	0
chr_dq_escaped	'\\"x';	0	0	3	0	2	6	0	1	0	0
chr_sq_escaped	'\\'x';	0	0	3	0	2	6	0	1	0	0
chr_no_semi	'a'	0	0	3	0	1	3	0	1	0	0
chr_with_semi_space	'a' 	0	0	3	0	1	4	0	1	0	0
chr_overflow	'abcdefghij';	0	0	3	3	10	13	0	1	1	0
chr_8slots_overflow	'abcdefghi';	0	0	3	3	9	12	0	1	1	0
chr_unterm	'abc	0	0	3	2	3	4	0	1	1	0
chr_unterm_at_eof	'a	0	0	3	2	1	2	0	1	1	0
err_hex_with_dot2	0x.5;	0	0	4	1	0	5	0	0	1	0
err_hex_with_e2	0xFe;	0	0	1	0	4	5	1	0	0	0
err_two_x_letters2	0xx1;	0	0	4	1	0	5	0	0	1	0
err_two_dots2	1.2.3;	0	0	4	1	0	6	0	0	1	0
err_trailing_dot	1.;	0	0	2	0	2	3	1	0	0	0
err_lone_dot	.	0	0	2	0	1	1	1	0	0	0
err_two_e_letters2	1e2e3;	0	0	4	1	0	6	0	0	1	0
err_e_no_digits	1e	0	0	1	0	2	2	1	0	0	0
err_e_trailing_minus	1e-	0	0	1	0	2	3	1	0	0	0
err_char_unterm	'abc	0	0	3	2	3	4	0	1	1	0
err_char_overflow	'abcdefghij';	0	0	3	3	10	13	0	1	1	0
err_char_8slots_overflow	'abcdefghi';	0	0	3	3	9	12	0	1	1	0
err_char_unterm_eof	'a	0	0	3	2	1	2	0	1	1	0
err_cur_on_letter	abc;	0	0	0	0	0	4	0	0	0	0
err_cur_on_op	+abc;	0	0	0	0	0	5	0	0	0	0
err_cur_at_eof	42	2	0	0	0	0	2	0	0	0	1
cur_past_end	1;	5	0	0	0	0	2	0	0	0	1
cur_negative	1;	-1	0	0	0	0	2	0	0	0	1
cur_at_boundary	1;	1	0	0	0	0	2	0	0	0	0
