ac_id	predicate_sha256	status	evidence_path	evidence_sha256
AC13	1a19dd9fcce046fef4a368c43139fb2f304d7122f67c9e8adcc3c277dc74e941	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-semantic-g0-migration-delta.txt	23df4dbe9f49a659484578d49013d26b474027ae26edfd4ded54b1af6f4e6de2
AC14	e000983b3720b5388bfa8af3b24a04f9adcc748379ed0b3417cb38ab5eed0165	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-semantic-per-fixture.tsv	bba30400e0cee02fdccad5aa20ba4470c2c94ac22fc5976f7fc1775b75eb9ac8
AC15	71ed794f73100117f553188101073fc22b84ef6721ccf6e9750ed8431bb55220	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-broad-corpus-delta.txt	b509bfe39c0ae8ec86357c5c8bc1eb6ad5a031b2b9bfc28c77873ba4e89a44b2
AC16	c922d5f01e2d998a138a64eabaf9d4d85cafca5eaa55d567533bf4b245874077	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-n01-output-mutation.txt	f41ae70bc7a30026d560c25668448f101e8f36f9ad605e1c65b4e9d3c1cabb96
AC17	50c2121b0608ba0f358c96eb72b83aaef29cba53287ce747af8f6f61b53b569c	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-n02-production-causal-control.txt	4e08c01882053405032717a61cb4bbede2e54fe62b0bbdee7a2fda14216bd9b8
AC18	aa3cb19298d0d95a379b62d3a0755ef7bfa69218d8437fc4c068a2a694b58357	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-n02-incomplete-witness-control.txt	f0eff1867ecfe8d2a9c3092b5aed87bc231a7fc8db22c6e17ab63a6106a08ac8
AC19	51b22e7b46a3274c0692410db1a2bef26ba2da980e850084d25064701929e793	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-n03-legacy-bypass.txt	04f537b9df21c5592df963f2e49c1aea626aa08c2bc5fbebe3f900e2ccd24f90
AC20	c87bc98d352f9f65c9fd96b7213cb4b807a651022a262e5418d67060736730d8	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-ac-id-shuffle.txt	78ef47191472f75e8243ee14692165fbc93165dedd642bdeb7cf8f94ba7d78d0
AC21	05811ddef318cc88f50859a9ccbe527c863699ca8cc9bd6d9f44a6fce01b2432	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-evidence-sha-mutation.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
AC22	f18206478252213dfe4fe62c34d5be20c49a9af4ac1e0f250938802b0e09bcea	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-predicate-lie-control.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
AC23	0b223117a6400597d530e0c67eecbacc3165d7dbb6ec556b0eab0d597f057a65	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-factory-gates.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
AC24	80787cecf4c4779a6da32ba73153b3aac05785b4e523d964cdb357ff056976d0	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-append-only.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
AC25	bdc0463cf0205312981bc1fd191d2ad3bf2de1ae4e4d67a1f21f1b462bf469a4	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-patch-hygiene.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
AC26	b5f87ffce42ef3b539d4ce68b948e3d8c2d6738b9ecd8d14caf3019872907fa1	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-phase-purity.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
AC27	6e097473d42d7ded7081cce7211dcc32ff353fc05e704619224979d7dfc90f60	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-lexer01-conservation.txt	e1a39522e75bbf2564f3330ba7815c1d5a11be1c7ddd893fec68cce25ae49d73
AC28	ac6e9c8331850193f85c00d8f61c9f2c518a1888e04c6b4ec8f9183074a1fadd	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-lexer02-conservation.txt	4723cc3ae0411543ef75541f4780ce318e3253a94ace118208e8f8ad8a41f7db
AC29	f610cddfb72f535e9411dd738f218d961ed48708e4cbccb76475e88467d7fde6	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-lexer03-conservation.txt	3ce25df5389e83044234328dfb8e20b11f9e369d7ddabd4167a078170c9f4fc0
AC30	b388df0f23d999f2f233b300beb7580fda65eafa3d6ecbc848129f58d9f3279d	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/ac-witness-results.tsv	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
AC31	16a3e8f9636397f9c3e33e9addc7401942d83dbc3137ea3a2092ae0459688331	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-f-polyc-tools.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
AC32	db2fbf55e6daab2839823338955b5658978abe17011af818f731aeced31929eb	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-f-no-python.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
AC33	8020231a0d8630e85c686faf79dd20ff6a4954d8c601dacb9dc7d243f143ee04	FAIL	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-f-polyc-tools.txt	383cbb856dccc901e83929b5eba63e0d5fb47885147bf3c28d926336676f0908
AC34	997183ac58a535afaadf537dbc17889fa2b3990db9a3668d42457b9d7873ac37	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-append-only.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
AC35	51ac9c1bd43ae63415f6bb322dd127da4ac0449138a7f2bc8c595fdfeb597324	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-patch-hygiene.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
AC36	310217ee0be12ff556a671a23bba79e2288cc2a4cb41a5cdf9498c9a053f243a	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-phase-purity.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
AC37	79f48128ab08b21933823457ff0f82c0fdbb80da67e9d71eaa8f2533c454b136	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-factory-gates.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
AC38	34ef8c489c6c352e7d1ab6a463f6fc45dc7913107bb7070b24ad34042abfa884	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-append-only.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
AC39	6b02ab623008dfb0903875e03ba422b8aad215160ca77df730449050f6fb68c5	PASS	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-patch-hygiene.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
AC40	3145e2305ab6b9dbc55576872c0d67177dfe5bbd182f296330942ed4ed2b9131	DEFERRED	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-factory-gates.txt	1199510bc86f28aba9e0df9f19eaac1c85c24775590e8b1f84e1575ab270d755
AC41	ad212515139af2b80eb3de1a36dd9666d9d7a956d6819b8521c3b49827c59645	DEFERRED	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-factory-gates.txt	1199510bc86f28aba9e0df9f19eaac1c85c24775590e8b1f84e1575ab270d755
AC42	719b638f65748b768b0990f058319fcfe548aaf616ded05d8725e99ed087e699	DEFERRED	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION04/c3/c3-required-result.txt	b6a4285450f29ec627b0f16aa2a0d957353273c799618f32dfd6381b2da78983
