AC_ID	WITNESS_ID	EVIDENCE_PATH	TOKEN	REPLACEMENT_STRATEGY	RAW_SOURCE
AC24	w48	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-token-schema-verify.txt	TOKEN_SCHEMA_PRODUCER_CONSUMER_DRIFT	RUN_TOKEN_SCHEMA_VERIFY	./build/lexer09-token-schema-verify
AC25	w49	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-ac-witness-results.tsv	WITNESS_FAIL	RUN_AC_WITNESS_VERIFY	./build/lexer09-ac-witness-verify
AC25	w50	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-ac-witness-results.tsv	WITNESS_MISSING	RUN_AC_WITNESS_VERIFY	./build/lexer09-ac-witness-verify
AC26	w51	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-witness-missing-control.txt	WITNESS_MISSING_CONTROL_DETECTED	CHECK_WITNESS_MISSING_CONTROL	grep MISSING c3-ac-witness-results.tsv
AC27	w52	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-witness-value-control.txt	WITNESS_VALUE_CONTROL_DETECTED	CHECK_WITNESS_VALUE_CONTROL	awk on c3-ac-witness-results.tsv
AC28	w53	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-ac-id-shuffle.txt	AC_ID_SHUFFLE_DETECTED	CHECK_AC_ID_SHUFFLE	shasum over c1-mandatory-ac-contract.tsv
AC29	w54	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-evidence-sha-mutation.txt	EVIDENCE_SHA_MUTATION_DETECTED	CHECK_EVIDENCE_SHA_MUTATION	shasum over evidence files
AC30	w55	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-predicate-lie-control.txt	PREDICATE_LIE_DETECTED	CHECK_PREDICATE_LIE_CONTROL	grep MISSING c3-ac-witness-results.tsv
AC31	w56	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-lexer01-conservation.txt	LEXER01_CONSERVATION	RUN_LEXER01_BROAD_CORPUS	make lexer01-link-broad-corpus-4-stage
AC32	w57	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-lexer02-conservation.txt	LEXER02_DIRECT_CONSERVATION	RUN_LEXER02_BROAD_CORPUS	make lexer02-link-broad-corpus-4-stage
AC33	w58	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-lexer03-conservation.txt	LEXER03_CONSERVATION	RUN_LEXER03_BROAD_CORPUS	make lexer03-link-broad-corpus-4-stage
AC34	w59	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-broad-corpus-delta.txt	LEXER07_NEW_FAILURES	RUN_BROAD_CORPUS_DELTA	make lexer07/08/09-link-broad-corpus
AC34	w60	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-broad-corpus-delta.txt	LEXER08_BROAD_CORPUS	RUN_BROAD_CORPUS_DELTA	make lexer07/08/09-link-broad-corpus
AC34	w61	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-broad-corpus-delta.txt	LEXER09_BROAD_CORPUS	RUN_BROAD_CORPUS_DELTA	make lexer07/08/09-link-broad-corpus
AC35	w62	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-f-polyc-tools.txt	NEW_SUBSTANTIVE_NON_POLYC_TOOLS	RUN_F_POLYC_TOOLS_CHECK	wc -l scripts/quality/lexer09-*.sh
AC36	w63	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-f-no-python.txt	NEW_PYTHON_SOURCES	RUN_F_NO_PYTHON_CHECK	./build/factory-no-python-check
AC36	w64	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-f-no-python.txt	NEW_PYTHON_INVOCATIONS	RUN_F_NO_PYTHON_CHECK	./build/factory-no-python-check
AC37	w65	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-f14.txt	CLOSED_EVIDENCE_DELTA	RUN_F14_REVERIFY	compare CORRECTION03 vs current evidence
AC37	w66	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-f14.txt	CLOSED_HANDOFF_DELTA	RUN_F14_REVERIFY	compare CORRECTION03 vs current evidence
AC38	w67	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-c2-freeze-replay.tsv	C2_TO_C3_FROZEN	C2_FREEZE_REPLAY	git show a046099:tools/quality/lexer09-n02-mutation-runner.HC
AC39	w68	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-phase-purity.txt	C3_PHASE_PURITY	CHECK_PHASE_PURITY	git log --format=%s | grep ACT-Phase
AC40	w69	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-factory-gates.txt	GATE_FAST	RUN_GATE_FAST	./scripts/quality/gate-fast.sh
AC40	w70	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-append-only.txt	APPEND_ONLY_FAIL	RUN_APPEND_ONLY_CHECK	git fsck + git replace -l
AC41	w71	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-patch-hygiene.txt	PATCH_HYGIENE_ERRORS	RUN_PATCH_HYGIENE	git diff --check 87106d6..HEAD
AC42	w72	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-required-result.txt	CORRECTION05_COMMIT_COUNT	STATIC_IDENTIFIERS	git rev-list --count 87106d6..HEAD
AC42	w73	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c3/c3-required-result.txt	C0_C1_C2_C3_C4_ORDER	STATIC_IDENTIFIERS	git rev-list --count 87106d6..HEAD
AC43	w74	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c4/c4-parent-identity.txt	WORKTREE_CLEAN_AFTER_C4	DERIVED_FROM_C3_FIXTURE_ID_MAP_VERIFY	/tmp/lexer09-4stage-semantic/semantic.g0.txt
AC44	w75	evidence/ACT-POLYC-SELFHOST-LEXER04/CORRECTION05/c4/c4-terminal-ledger.txt	POST_C4_COMMIT_COUNT	DERIVED_FROM_C3_FIXTURE_ID_MAP_VERIFY	/tmp/lexer09-4stage-semantic/semantic.g0.txt
